drug,event,is_anomaly,anomaly_score,count,prr,death_rate
Imatinib,Incorrect dose administered,No,0.3733,1,0.933,0.0%
Imatinib,Discomfort,No,0.3684,1,1.452,0.0%
Imatinib,Pneumonitis,No,0.3751,1,0.128,0.0%
Imatinib,Pelvic pain,No,0.3634,1,2.179,0.0%
Imatinib,Ear swelling,No,0.3973,1,0.000,0.0%
Imatinib,Liver disorder,No,0.3755,1,0.458,0.0%
Imatinib,Drug-induced liver injury,No,0.3744,1,0.817,0.0%
Imatinib,Liver function test abnormal,No,0.3744,1,0.608,0.0%
Imatinib,Exposure via father,No,0.3973,1,0.000,0.0%
Imatinib,Platelet count increased,No,0.3678,1,3.735,0.0%
Imatinib,Disease recurrence,No,0.3733,1,0.968,0.0%
Imatinib,Osteoarthritis,No,0.3667,1,3.268,0.0%
Imatinib,Multiple sclerosis,No,0.3773,1,5.229,0.0%
Imatinib,Bone neoplasm,Yes,0.5313,1,26.149,100.0%
Imatinib,Jugular vein thrombosis,No,0.4323,1,5.229,100.0%
Imatinib,Subdural haematoma,No,0.3871,2,2.491,0.0%
Imatinib,Intentional overdose,No,0.3973,1,0.000,0.0%
Imatinib,Bone marrow myelogram abnormal,No,0.3973,1,0.000,0.0%
Imatinib,Anorectal discomfort,No,0.4057,1,13.074,0.0%
Imatinib,Frustration,No,0.4558,1,26.149,0.0%
Imatinib,Normal newborn,No,0.4558,1,26.149,0.0%
Imatinib,Gestational diabetes,No,0.3973,1,0.000,0.0%
Imatinib,Biliary tract disorder,No,0.3757,1,6.537,0.0%
Imatinib,Acute hepatic failure,No,0.3650,1,4.358,0.0%
Imatinib,Hepatocellular carcinoma,No,0.4397,1,5.229,100.0%
Imatinib,Posterior reversible encephalopathy syndrome,No,0.3733,1,0.901,0.0%
Imatinib,Blood lactate dehydrogenase increased,No,0.3737,1,0.653,0.0%
Imatinib,Myocarditis,No,0.3646,1,1.538,0.0%
Imatinib,Troponin increased,No,0.3634,1,2.179,0.0%
Imatinib,Umbilical hernia,No,0.3973,1,0.000,0.0%
Imatinib,Jaundice,No,0.3713,1,1.136,0.0%
Imatinib,Eosinophil count increased,No,0.3692,1,2.615,0.0%
Imatinib,Lipase increased,No,0.3715,1,1.046,0.0%
Imatinib,Chromaturia,No,0.3694,1,1.538,0.0%
Imatinib,Red cell distribution width increased,No,0.3699,1,4.358,0.0%
Imatinib,Febrile convulsion,No,0.4558,1,26.149,0.0%
Imatinib,Rash macular,No,0.4394,2,3.077,0.0%
Imatinib,Rash pruritic,No,0.4411,2,0.950,0.0%
Imatinib,Breast cancer stage I,No,0.3973,1,0.000,0.0%
Imatinib,Uterine neoplasm,No,0.3973,1,0.000,0.0%
Imatinib,Carbohydrate antigen 125 increased,No,0.3686,1,0.318,0.0%
Imatinib,Acute pulmonary oedema,No,0.4290,1,2.179,100.0%
Imatinib,Wrong drug administered,No,0.4910,1,0.000,0.0%
Imatinib,Drug dispensing error,No,0.4910,1,0.000,0.0%
Imatinib,Sarcoma,No,0.4558,1,26.149,0.0%
Imatinib,Iodine allergy,No,0.3973,1,0.000,0.0%
Imatinib,Food aversion,No,0.4057,1,13.074,0.0%
Imatinib,Throat irritation,No,0.3693,1,1.376,0.0%
Imatinib,Gout,No,0.3692,1,2.615,0.0%
Imatinib,Malnutrition,No,0.3684,1,1.452,0.0%
Imatinib,Conjunctival hyperaemia,No,0.4057,1,13.074,0.0%
Imatinib,Skin sensitisation,No,0.3973,1,0.000,0.0%
Imatinib,Eating disorder,No,0.3686,1,1.743,0.0%
Imatinib,Laceration,No,0.3959,2,5.232,0.0%
Imatinib,Lichen planus,No,0.4558,1,26.149,0.0%
Imatinib,Burning sensation,No,0.3729,1,0.544,0.0%
Imatinib,Cheilitis,No,0.3699,1,4.358,0.0%
Imatinib,Eye discharge,No,0.3692,1,2.615,0.0%
Imatinib,Gastroenteritis viral,No,0.4003,2,6.540,0.0%
Imatinib,Blood blister,No,0.4057,1,13.074,0.0%
Imatinib,Gastritis,No,0.3737,1,0.653,0.0%
Imatinib,Hypovolaemic shock,No,0.4710,1,13.074,100.0%
Imatinib,Depressed level of consciousness,No,0.4177,2,3.269,50.0%
Imatinib,Gastrointestinal necrosis,No,0.4228,1,4.358,100.0%
Imatinib,Mental status changes,No,0.4223,1,0.594,100.0%
Imatinib,Haematemesis,No,0.4210,1,0.769,100.0%
Imatinib,Urine output decreased,No,0.4184,1,2.905,100.0%
Imatinib,Infarction,No,0.4694,1,0.000,100.0%
Imatinib,Cardiac arrest,No,0.4166,2,0.830,50.0%
Imatinib,Respiratory rate increased,No,0.4534,1,8.716,100.0%
Imatinib,Adrenal insufficiency,No,0.3757,1,0.443,0.0%
Imatinib,Heart rate increased,No,0.3780,1,0.335,0.0%
Imatinib,General physical condition abnormal,No,0.3639,1,3.735,0.0%
Imatinib,Hot flush,No,0.4516,1,0.817,0.0%
Imatinib,Oral pain,No,0.3856,2,1.245,0.0%
Imatinib,Wrong technique in drug usage process,No,0.4093,2,7.474,0.0%
Imatinib,Expired product administered,No,0.4558,1,26.149,0.0%
Imatinib,Gastric dilatation,No,0.4558,1,26.149,0.0%
Imatinib,Hypotonia,No,0.4558,1,26.149,0.0%
Imatinib,Oxygen saturation increased,No,0.4694,1,0.000,100.0%
Imatinib,Depressed mood,No,0.3613,1,1.743,0.0%
Imatinib,Accident,No,0.3973,1,0.000,0.0%
Imatinib,Musculoskeletal discomfort,No,0.3692,1,1.867,0.0%
Imatinib,Arthropathy,No,0.3686,1,1.743,0.0%
Imatinib,Breast disorder,No,0.3973,1,0.000,0.0%
Imatinib,Spinal pain,No,0.3678,1,3.735,0.0%
Imatinib,Crying,No,0.3699,1,4.358,0.0%
Imatinib,Macular degeneration,No,0.3905,1,8.716,0.0%
Imatinib,Vitamin D decreased,No,0.3738,1,5.229,0.0%
Imatinib,Volvulus,No,0.4584,1,26.149,0.0%
Imatinib,Dry mouth,No,0.3695,1,0.378,0.0%
Imatinib,Hiccups,No,0.3650,1,4.358,0.0%
Imatinib,Tumour compression,No,0.4026,1,13.074,0.0%
Imatinib,Haemoglobin increased,No,0.4584,1,26.149,0.0%
Imatinib,Tongue haemorrhage,No,0.3901,1,0.000,0.0%
Imatinib,Skin atrophy,No,0.3902,1,8.716,0.0%
Imatinib,Prescribed underdose,No,0.3670,1,0.466,0.0%
Imatinib,Poor quality sleep,No,0.3650,1,4.358,0.0%
Imatinib,Brain compression,Yes,0.5366,1,26.149,100.0%
Imatinib,Bone cancer,No,0.4508,1,6.537,100.0%
Imatinib,Metastases to eye,No,0.3973,1,0.000,0.0%
Imatinib,Oropharyngeal pain,No,0.3763,1,0.368,0.0%
Imatinib,Vertigo,No,0.3744,1,0.581,0.0%
Imatinib,Parkinson^s disease,No,0.4591,1,8.716,100.0%
Imatinib,Disease complication,No,0.4775,1,13.074,100.0%
Imatinib,Bone density decreased,No,0.3973,1,0.000,0.0%
Imatinib,Pulmonary arterial hypertension,No,0.3738,1,5.229,0.0%
Imatinib,Acute kidney injury,No,0.3688,1,0.221,0.0%
Imatinib,Oral mucosal blistering,No,0.3690,1,2.011,0.0%
Erlotinib,Dizziness,No,0.4937,8,0.776,25.0%
Erlotinib,Fatigue,Yes,0.6197,26,0.666,26.9%
Erlotinib,Rash,Yes,0.7589,95,5.592,27.4%
Erlotinib,Death,Yes,0.7833,194,5.592,100.0%
Erlotinib,Interstitial lung disease,No,0.4195,4,0.819,25.0%
Erlotinib,Pyrexia,Yes,0.4985,10,0.414,20.0%
Erlotinib,Diarrhoea,Yes,0.6969,64,1.707,25.0%
Erlotinib,Abdominal symptom,No,0.3990,1,0.000,0.0%
Erlotinib,Conjunctivitis,No,0.4235,3,6.731,0.0%
Erlotinib,Dyspnoea,Yes,0.5073,12,0.638,33.3%
Erlotinib,Vomiting,Yes,0.6039,25,1.005,24.0%
Erlotinib,Decreased appetite,Yes,0.6011,25,1.576,28.0%
Erlotinib,Eye swelling,No,0.3690,1,1.977,0.0%
Erlotinib,Ocular hyperaemia,No,0.4296,4,5.387,0.0%
Erlotinib,Incorrect dose administered,Yes,0.6153,8,12.859,75.0%
Erlotinib,Pleural effusion,No,0.4450,5,0.770,0.0%
Erlotinib,Hearing impaired,No,0.3683,1,1.680,0.0%
Erlotinib,Epistaxis,No,0.4439,6,1.771,33.3%
Erlotinib,Hypertension,No,0.4062,4,0.759,0.0%
Erlotinib,Computerised tomogram abnormal,No,0.4831,1,33.621,0.0%
Erlotinib,Inappropriate schedule of drug administration,No,0.3713,1,1.018,0.0%
Erlotinib,Hip fracture,No,0.4288,2,5.175,50.0%
Erlotinib,Haemorrhagic diathesis,No,0.4253,1,16.810,0.0%
Erlotinib,Dry skin,Yes,0.5704,15,4.161,6.7%
Erlotinib,Off label use,No,0.4963,9,0.713,66.7%
Erlotinib,Malignant neoplasm progression,Yes,0.6364,31,1.594,51.6%
Erlotinib,Deafness,No,0.4204,2,2.242,50.0%
Erlotinib,Bone pain,No,0.4540,6,2.526,33.3%
Erlotinib,Memory impairment,No,0.4567,5,3.061,40.0%
Erlotinib,Blood pressure increased,No,0.3764,1,0.365,0.0%
Erlotinib,Abdominal discomfort,No,0.4466,5,1.255,0.0%
Erlotinib,Vision blurred,No,0.4497,7,2.482,0.0%
Erlotinib,Nervousness,No,0.3688,1,2.401,0.0%
Erlotinib,Depression,No,0.3966,3,1.421,0.0%
Erlotinib,Insomnia,No,0.3798,1,0.200,0.0%
Erlotinib,Weight decreased,Yes,0.5288,14,1.796,28.6%
Erlotinib,Convulsion,No,0.4487,6,3.744,16.7%
Erlotinib,Therapeutic response decreased,No,0.4133,1,1.769,100.0%
Erlotinib,Metastases to bone,No,0.4610,2,1.003,100.0%
Erlotinib,Metastases to central nervous system,No,0.4602,5,1.557,60.0%
Erlotinib,Pleural fibrosis,Yes,0.6993,4,134.737,0.0%
Erlotinib,Dry eye,No,0.4583,5,7.019,0.0%
Erlotinib,Gait disturbance,No,0.4177,5,1.633,20.0%
Erlotinib,Pain in extremity,No,0.4590,8,1.332,37.5%
Erlotinib,Immobile,Yes,0.4989,1,16.810,100.0%
Erlotinib,Eye pruritus,Yes,0.5299,5,15.318,20.0%
Erlotinib,Lacrimation increased,No,0.4056,3,3.154,0.0%
Erlotinib,Facial pain,No,0.4055,2,6.116,0.0%
Erlotinib,Weight fluctuation,No,0.4234,2,9.611,0.0%
Erlotinib,Surgical failure,No,0.4733,2,22.427,0.0%
Erlotinib,Growth of eyelashes,Yes,0.6069,5,33.703,0.0%
Erlotinib,Hair texture abnormal,No,0.4926,5,12.035,0.0%
Erlotinib,Blister,No,0.4069,4,3.366,0.0%
Erlotinib,Wound,No,0.4385,3,4.589,33.3%
Erlotinib,Intestinal obstruction,No,0.4214,1,0.569,100.0%
Erlotinib,Neoplasm,No,0.4448,5,4.432,40.0%
Erlotinib,Pain,No,0.4610,8,0.911,25.0%
Erlotinib,Abdominal pain,No,0.4523,5,0.493,40.0%
Erlotinib,Pulmonary haemorrhage,No,0.4697,3,5.609,66.7%
Erlotinib,Pneumothorax,No,0.3807,2,2.242,0.0%
Erlotinib,Cough,Yes,0.4972,11,1.570,45.5%
Erlotinib,Asthenia,Yes,0.5707,19,1.260,31.6%
Erlotinib,Schizophrenia,Yes,0.5572,1,33.621,100.0%
Erlotinib,Eye pain,No,0.3682,1,2.241,0.0%
Erlotinib,Hyperventilation,No,0.3900,1,8.405,0.0%
Erlotinib,Sensory disturbance,No,0.3900,1,8.405,0.0%
Erlotinib,Skin fissures,Yes,0.5116,6,11.239,0.0%
Erlotinib,Skin discolouration,No,0.4056,3,3.154,0.0%
Erlotinib,Respiratory disorder,No,0.3694,1,1.528,0.0%
Erlotinib,Nasal congestion,No,0.3683,1,1.680,0.0%
Erlotinib,Nausea,Yes,0.6278,26,0.629,26.9%
Erlotinib,Headache,No,0.4658,9,0.889,33.3%
Erlotinib,Dermatitis,No,0.4051,3,2.968,0.0%
Erlotinib,Folliculitis,No,0.4695,2,22.427,0.0%
Erlotinib,Haemoptysis,No,0.4680,6,5.466,33.3%
Erlotinib,Pneumonia,Yes,0.5856,16,1.024,62.5%
Erlotinib,Nasopharyngitis,No,0.3695,1,0.395,0.0%
Erlotinib,White blood cell count decreased,No,0.4129,3,0.293,0.0%
Erlotinib,Nephrolithiasis,No,0.3640,1,2.401,0.0%
Erlotinib,Pancreatitis,No,0.3692,1,0.634,0.0%
Erlotinib,Palmar-plantar erythrodysaesthesia syndrome,No,0.3670,1,0.460,0.0%
Erlotinib,Non-small cell lung cancer,No,0.4656,5,4.812,60.0%
Erlotinib,Fluid intake reduced,No,0.3724,1,4.803,0.0%
Erlotinib,Spinal fracture,No,0.3631,1,1.867,0.0%
Erlotinib,Fall,No,0.4839,10,1.994,20.0%
Erlotinib,Blood glucose increased,No,0.3675,1,0.700,0.0%
Erlotinib,Pruritus,No,0.4905,11,1.464,9.1%
Erlotinib,Nasal dryness,No,0.3678,1,3.735,0.0%
Erlotinib,Alopecia,No,0.4662,9,1.794,11.1%
Erlotinib,Lip swelling,No,0.4252,3,6.731,0.0%
Erlotinib,Tongue eruption,No,0.4831,1,33.621,0.0%
Erlotinib,Madarosis,No,0.3779,1,5.603,0.0%
Erlotinib,Eye irritation,Yes,0.6609,9,43.439,22.2%
Erlotinib,Eye discharge,Yes,0.5188,4,19.246,0.0%
Erlotinib,Acne,Yes,0.5559,11,7.436,0.0%
Erlotinib,Weight increased,No,0.4016,3,1.601,0.0%
Erlotinib,Skin burning sensation,No,0.4105,2,7.475,0.0%
Erlotinib,Glossodynia,No,0.3708,1,2.586,0.0%
Erlotinib,Lung cancer metastatic,Yes,0.6941,6,50.587,83.3%
Erlotinib,Constipation,No,0.4715,6,0.479,33.3%
Erlotinib,Thrombocytopenia,No,0.4205,4,0.288,0.0%
Erlotinib,Taeniasis,No,0.4831,1,33.621,0.0%
Erlotinib,Oedema peripheral,No,0.4479,5,1.151,40.0%
Erlotinib,Haemoglobin decreased,No,0.4535,3,0.393,66.7%
Erlotinib,Hypermetabolism,Yes,0.5006,1,16.810,100.0%
Erlotinib,Liver injury,No,0.4614,3,8.414,33.3%
Erlotinib,Thrombotic microangiopathy,No,0.3686,1,2.101,0.0%
Erlotinib,Dehydration,Yes,0.5597,17,1.440,29.4%
Erlotinib,Dyspepsia,No,0.4122,5,1.617,0.0%
Erlotinib,Mouth haemorrhage,No,0.3732,1,5.603,0.0%
Erlotinib,Tongue ulceration,No,0.3985,1,11.207,0.0%
Erlotinib,Haematuria,No,0.4363,6,3.260,0.0%
Erlotinib,Eosinophilia,No,0.3708,1,2.586,0.0%
Erlotinib,Drug interaction,No,0.3744,1,0.589,0.0%
Erlotinib,Leukocytosis,No,0.3838,2,2.101,0.0%
Erlotinib,Neutrophilia,No,0.4831,1,33.621,0.0%
Erlotinib,Metastases to liver,No,0.4626,2,0.819,100.0%
Erlotinib,Spinal compression fracture,No,0.3630,1,2.241,0.0%
Erlotinib,Forearm fracture,No,0.3990,1,0.000,0.0%
Erlotinib,Limb injury,No,0.3636,1,3.362,0.0%
Erlotinib,Angle closure glaucoma,Yes,0.5015,2,0.000,0.0%
Erlotinib,Visual impairment,No,0.3988,3,1.050,0.0%
Erlotinib,Ocular hypertension,No,0.4912,1,33.621,0.0%
Erlotinib,Keratitis,No,0.4221,2,11.213,0.0%
Erlotinib,Suicidal ideation,No,0.3639,1,3.735,0.0%
Erlotinib,Oesophagitis,No,0.3634,1,1.600,0.0%
Erlotinib,Pruritus generalised,No,0.4633,2,3.203,100.0%
Erlotinib,Haemorrhage,No,0.4422,5,2.630,40.0%
Erlotinib,Drowning,No,0.4582,1,8.405,100.0%
Erlotinib,Liver disorder,No,0.4339,1,0.589,100.0%
Erlotinib,Blood creatinine increased,No,0.4515,3,0.550,66.7%
Erlotinib,Cardiac arrest,No,0.4744,3,1.627,100.0%
Erlotinib,Acute respiratory distress syndrome,No,0.4543,2,1.817,100.0%
Erlotinib,Disease progression,Yes,0.4971,10,0.397,40.0%
Erlotinib,Pancreatic enzymes increased,Yes,0.5009,2,11.213,100.0%
Erlotinib,Spinal pain,No,0.3724,1,4.803,0.0%
Erlotinib,Drug effect decreased,No,0.3724,1,4.803,0.0%
Erlotinib,Sleep disorder,No,0.3634,1,1.344,0.0%
Erlotinib,Drug hypersensitivity,No,0.4558,4,5.387,50.0%
Erlotinib,Muscle spasms,No,0.4453,5,1.218,0.0%
Erlotinib,Retching,No,0.4122,2,1.921,50.0%
Erlotinib,Speech disorder,No,0.3673,1,0.473,0.0%
Erlotinib,Paraesthesia,No,0.4092,3,1.310,0.0%
Erlotinib,Emotional distress,No,0.3648,1,1.528,0.0%
Erlotinib,Mechanical ileus,No,0.4780,1,0.000,100.0%
Erlotinib,Cholangitis,No,0.4398,2,6.116,50.0%
Erlotinib,General physical health deterioration,Yes,0.5148,9,2.136,66.7%
Erlotinib,Confusional state,No,0.4189,5,1.128,0.0%
Erlotinib,Stomatitis,No,0.4371,4,0.730,25.0%
Erlotinib,Eating disorder,No,0.4894,4,11.226,0.0%
Erlotinib,Oral mucosal blistering,No,0.3985,2,5.606,0.0%
Erlotinib,Pulmonary embolism,Yes,0.5382,14,2.489,35.7%
Erlotinib,Gastric disorder,No,0.3622,1,2.101,0.0%
Erlotinib,Hypotension,No,0.4554,7,1.137,28.6%
Erlotinib,Platelet count decreased,No,0.4209,3,0.236,0.0%
Erlotinib,Anaemia,Yes,0.5095,11,0.613,36.4%
Erlotinib,Small intestinal obstruction,No,0.3681,1,0.659,0.0%
Erlotinib,Colonic fistula,No,0.4912,1,33.621,0.0%
Erlotinib,Pneumatosis,No,0.4912,1,33.621,0.0%
Erlotinib,Neuropathy peripheral,No,0.4178,3,0.447,33.3%
Erlotinib,Oedema,No,0.3860,2,0.819,0.0%
Erlotinib,Erythema,No,0.4205,4,0.824,25.0%
Erlotinib,Renal failure,No,0.3817,1,0.160,0.0%
Erlotinib,Thrombosis,No,0.3978,3,1.084,0.0%
Erlotinib,Ulcer,No,0.4305,2,13.456,0.0%
Erlotinib,Thyroid mass,No,0.4831,1,33.621,0.0%
Erlotinib,Rash erythematous,No,0.3848,2,2.402,0.0%
Erlotinib,Blindness,No,0.4074,3,3.882,0.0%
Erlotinib,Scab,No,0.4483,2,16.820,0.0%
Erlotinib,Lung operation,No,0.3990,1,0.000,0.0%
Erlotinib,Therapeutic product ineffective,Yes,0.5963,3,50.494,0.0%
Erlotinib,Respiratory distress,No,0.3655,1,0.960,0.0%
Erlotinib,Partial seizures,No,0.3639,1,4.202,0.0%
Erlotinib,Herpes zoster,No,0.3827,2,1.461,0.0%
Erlotinib,Product use issue,No,0.3695,1,0.365,0.0%
Erlotinib,Photopsia,No,0.3639,1,4.202,0.0%
Erlotinib,Drug dose omission,No,0.4221,5,1.255,20.0%
Erlotinib,Eyelid oedema,No,0.3624,1,3.056,0.0%
Erlotinib,Pleurisy,No,0.3724,1,4.803,0.0%
Erlotinib,Pneumatosis intestinalis,No,0.4321,1,5.603,100.0%
Erlotinib,Ascites,No,0.4248,1,0.353,100.0%
Erlotinib,Haematochezia,No,0.4194,2,1.724,50.0%
Erlotinib,Neuroendocrine tumour,No,0.4912,1,33.621,0.0%
Erlotinib,Gastric ulcer,No,0.3632,1,1.461,0.0%
Erlotinib,Optic ischaemic neuropathy,No,0.4274,1,16.810,0.0%
Erlotinib,Muscular weakness,No,0.4299,5,1.324,40.0%
Erlotinib,Rhabdomyolysis,No,0.3648,1,1.528,0.0%
Erlotinib,Respiratory failure,No,0.4912,7,1.603,71.4%
Erlotinib,Metabolic acidosis,Yes,0.5027,3,11.219,66.7%
Erlotinib,Hyperkalaemia,No,0.4316,1,1.084,100.0%
Erlotinib,Failure to thrive,No,0.4311,1,1.977,100.0%
Erlotinib,Ventricular tachycardia,No,0.4311,1,1.977,100.0%
Erlotinib,White blood cell count increased,No,0.4142,2,1.159,50.0%
Erlotinib,Malaise,No,0.4396,5,0.436,40.0%
Erlotinib,Toxicity to various agents,No,0.3791,1,0.231,0.0%
Erlotinib,Thirst,No,0.3781,1,4.803,0.0%
Erlotinib,Oral discomfort,No,0.3900,1,8.405,0.0%
Erlotinib,Chapped lips,No,0.4012,1,11.207,0.0%
Erlotinib,Dry mouth,No,0.4030,3,1.505,0.0%
Erlotinib,Oral pain,No,0.3748,1,0.781,0.0%
Erlotinib,Cardiac failure congestive,No,0.4252,2,0.850,50.0%
Erlotinib,Functional gastrointestinal disorder,No,0.3639,1,3.735,0.0%
Erlotinib,Blood count abnormal,No,0.3693,1,0.420,0.0%
Erlotinib,Lung neoplasm malignant,Yes,0.5032,6,2.434,83.3%
Erlotinib,Hernial eventration,No,0.4082,1,0.000,0.0%
Erlotinib,Incorrect route of drug administration,No,0.3674,1,3.362,0.0%
Erlotinib,Meningitis,No,0.3640,1,2.401,0.0%
Erlotinib,Cerebrovascular accident,No,0.4288,2,0.685,50.0%
Erlotinib,Brain neoplasm malignant,No,0.3985,1,11.207,0.0%
Erlotinib,Incision site haematoma,No,0.3990,1,0.000,0.0%
Erlotinib,Hyperkeratosis,No,0.3640,1,1.084,0.0%
Erlotinib,Hypersomnia,No,0.3622,1,2.101,0.0%
Erlotinib,Haemolysis,No,0.3752,1,6.724,0.0%
Erlotinib,Drug ineffective,No,0.4240,5,0.633,20.0%
Erlotinib,Recurrent cancer,No,0.3732,1,5.603,0.0%
Erlotinib,Onychomycosis,No,0.4912,1,33.621,0.0%
Erlotinib,Myocardial infarction,No,0.3874,2,0.790,0.0%
Erlotinib,Hair growth abnormal,No,0.3639,1,3.735,0.0%
Erlotinib,Haematemesis,No,0.3655,1,0.988,0.0%
Erlotinib,Catheter placement,No,0.4912,1,33.621,0.0%
Erlotinib,Intestinal perforation,No,0.4348,1,0.672,100.0%
Erlotinib,Petit mal epilepsy,No,0.4253,1,16.810,0.0%
Erlotinib,Pulmonary oedema,No,0.3840,2,1.372,0.0%
Erlotinib,Dysphagia,No,0.4035,3,0.695,0.0%
Erlotinib,Epilepsy,No,0.3961,2,4.805,0.0%
Erlotinib,Myalgia,No,0.3887,2,0.516,0.0%
Erlotinib,Amylase increased,No,0.4134,2,9.611,0.0%
Erlotinib,Rash maculo-papular,No,0.3729,1,0.542,0.0%
Erlotinib,Malignant melanoma,No,0.3683,1,1.600,0.0%
Erlotinib,Pulmonary fibrosis,No,0.4418,3,5.313,33.3%
Erlotinib,Basal cell carcinoma,No,0.3715,1,1.050,0.0%
Erlotinib,Squamous cell carcinoma of skin,No,0.3894,2,3.737,0.0%
Erlotinib,Squamous cell carcinoma,No,0.3846,2,2.491,0.0%
Erlotinib,Prostate cancer stage I,No,0.4082,1,0.000,0.0%
Erlotinib,Prostate cancer,No,0.4667,5,8.022,0.0%
Erlotinib,Thyroid cancer,No,0.3900,1,8.405,0.0%
Erlotinib,Hallucination,No,0.3631,1,1.867,0.0%
Erlotinib,Infection,No,0.4640,8,1.275,25.0%
Erlotinib,Mental status changes,No,0.3827,2,1.564,0.0%
Erlotinib,Tachycardia,No,0.4007,4,1.747,0.0%
Erlotinib,Tachypnoea,No,0.3610,1,2.801,0.0%
Erlotinib,Breath sounds abnormal,No,0.3732,1,5.603,0.0%
Erlotinib,Wheezing,No,0.3613,1,1.769,0.0%
Erlotinib,Neutropenia,No,0.4859,8,0.452,12.5%
Erlotinib,Pericardial effusion,No,0.3850,2,1.050,0.0%
Erlotinib,Organ failure,Yes,0.5006,1,16.810,100.0%
Erlotinib,Aphagia,No,0.4279,1,1.769,100.0%
Erlotinib,Corneal thinning,No,0.3990,1,0.000,0.0%
Erlotinib,Corneal disorder,No,0.4912,1,33.621,0.0%
Erlotinib,Corneal irritation,No,0.3990,1,0.000,0.0%
Erlotinib,Chronic lymphocytic leukaemia,No,0.3631,1,1.867,0.0%
Erlotinib,Cerebral haemorrhage,No,0.4124,2,1.430,50.0%
Erlotinib,Hemiparesis,No,0.3894,2,3.737,0.0%
Erlotinib,Hemianopia homonymous,Yes,0.5226,2,0.000,50.0%
Erlotinib,Eye movement disorder,No,0.3985,1,11.207,0.0%
Erlotinib,VIIth nerve paralysis,No,0.4433,3,4.589,33.3%
Erlotinib,Upper gastrointestinal haemorrhage,No,0.3682,1,1.769,0.0%
Erlotinib,Hepatic failure,No,0.3737,1,0.840,0.0%
Erlotinib,Eastern Cooperative Oncology Group performance status worsened,No,0.3807,1,6.724,0.0%
Erlotinib,Neuropsychiatric syndrome,No,0.4831,1,33.621,0.0%
Erlotinib,Abnormal behaviour,No,0.3686,1,4.202,0.0%
Erlotinib,Fracture,No,0.4203,1,3.056,100.0%
Erlotinib,Laceration,No,0.4203,1,3.056,100.0%
Erlotinib,Impaired healing,No,0.4157,1,1.867,100.0%
Erlotinib,Rash pruritic,No,0.4170,2,1.222,50.0%
Erlotinib,Hyperaesthesia,No,0.4483,2,16.820,0.0%
Erlotinib,Somnolence,No,0.4537,1,0.400,0.0%
Erlotinib,Cerebrovascular disorder,Yes,0.4989,1,16.810,100.0%
Erlotinib,Deep vein thrombosis,No,0.4622,2,0.600,100.0%
Erlotinib,Dermatitis acneiform,Yes,0.5394,7,8.745,57.1%
Erlotinib,Haemoglobin abnormal,No,0.3674,1,3.362,0.0%
Erlotinib,Back pain,No,0.3734,1,0.137,0.0%
Erlotinib,Dysgeusia,No,0.4240,4,0.742,25.0%
Erlotinib,Ataxia,No,0.3708,1,2.586,0.0%
Erlotinib,Malignant glioma,No,0.4012,1,11.207,0.0%
Erlotinib,Pancytopenia,No,0.4275,2,0.300,50.0%
Erlotinib,Hyponatraemia,No,0.4168,2,0.494,50.0%
Erlotinib,Hepatic cyst,No,0.4012,1,11.207,0.0%
Erlotinib,Platelet count increased,No,0.3781,1,4.803,0.0%
Erlotinib,Bronchitis,No,0.3744,1,0.611,0.0%
Erlotinib,Liver function test abnormal,No,0.3748,1,0.781,0.0%
Erlotinib,Micturition disorder,Yes,0.5608,1,33.621,100.0%
Erlotinib,Incontinence,No,0.4312,1,3.735,100.0%
Erlotinib,Discomfort,No,0.3631,1,1.867,0.0%
Erlotinib,Anxiety,No,0.3695,1,0.329,0.0%
Erlotinib,Arthralgia,No,0.4258,4,0.522,25.0%
Erlotinib,Conjunctival ulcer,No,0.4082,1,0.000,0.0%
Erlotinib,Skin ulcer,No,0.4273,3,6.310,0.0%
Erlotinib,Treatment failure,No,0.3710,1,1.293,0.0%
Erlotinib,Gastroenteritis,No,0.3802,2,2.924,0.0%
Erlotinib,Carcinoembryonic antigen increased,No,0.4012,1,11.207,0.0%
Erlotinib,Drug resistance,No,0.3696,1,1.344,0.0%
Erlotinib,Tonsil cancer,No,0.4946,2,0.000,0.0%
Erlotinib,Nail bed bleeding,Yes,0.5015,2,0.000,0.0%
Erlotinib,Swelling,No,0.3748,1,0.715,0.0%
Erlotinib,Eye infection,No,0.4253,1,16.810,0.0%
Erlotinib,Acetabulum fracture,No,0.3990,1,0.000,0.0%
Erlotinib,Sepsis,No,0.4648,6,0.719,50.0%
Erlotinib,Bradycardia,No,0.4311,1,1.977,100.0%
Erlotinib,Septic shock,No,0.4362,1,0.342,100.0%
Erlotinib,Febrile neutropenia,No,0.4378,4,0.279,25.0%
Erlotinib,Urinary retention,No,0.3613,1,1.769,0.0%
Erlotinib,Rash papular,No,0.3636,1,3.362,0.0%
Erlotinib,Arthritis,No,0.3821,2,1.978,0.0%
Erlotinib,Chondrocalcinosis pyrophosphate,No,0.3985,1,11.207,0.0%
Erlotinib,Hepatic function abnormal,No,0.3679,1,0.517,0.0%
Erlotinib,C-reactive protein increased,No,0.3654,1,0.840,0.0%
Erlotinib,Eye disorder,No,0.3659,1,2.801,0.0%
Erlotinib,Bone marrow failure,No,0.3989,3,0.960,0.0%
